ENSG00000189337	1	14598684	14608684	+
ENSG00000276747	1	17372195	17382195	+
ENSG00000283039	1	44131630	44141630	-
ENSG00000131233	1	38871586	38881586	-
ENSG00000134200	1	115029825	115039825	+
ENSG00000184155	1	159526006	159536006	-
ENSG00000157060	1	182943165	182953165	-
ENSG00000116903	1	231327851	231337851	-
ENSG00000253148	1	192316991	192326991	+
ENSG00000203737	1	174447963	174457963	+
ENSG00000183114	1	20552572	20562572	+
ENSG00000243284	1	159852656	159862656	-
ENSG00000177489	1	247588359	247598359	+
ENSG00000177476	1	247605585	247615585	+
ENSG00000254726	1	156072464	156082464	-
ENSG00000186160	1	47067230	47077230	+
ENSG00000186790	1	47416284	47426284	+
ENSG00000162763	1	165543999	165553999	+
ENSG00000186564	1	47438043	47448043	+
ENSG00000173080	1	155941637	155951637	+
ENSG00000121634	1	147902794	147912794	+
ENSG00000244020	1	236994440	237004440	-
ENSG00000134249	1	119886514	119896514	-
ENSG00000285641	1	153976245	153986245	-
ENSG00000173110	1	161524539	161534539	+
ENSG00000143105	1	110509174	110519174	-
ENSG00000215915	1	1449688	1459688	+
ENSG00000178828	1	19805282	19815282	-
ENSG00000188784	1	19913616	19923616	-
ENSG00000177186	1	248314567	248324567	-
ENSG00000177174	1	248348774	248358774	+
ENSG00000162456	1	46541646	46551646	-
ENSG00000196539	1	248473350	248483350	+
ENSG00000203661	1	248488588	248498588	+
ENSG00000183310	1	248564756	248574756	-
ENSG00000187238	1	152613810	152623810	+
ENSG00000185962	1	152613102	152623102	-
ENSG00000159455	1	152686122	152696122	+
ENSG00000187173	1	152698344	152708344	+
ENSG00000204501	1	13315580	13325580	+
ENSG00000204481	1	13337133	13347133	-
ENSG00000204479	1	13389631	13399631	+
ENSG00000228594	1	1590134	1600134	-
ENSG00000186306	1	158389465	158399465	-
ENSG00000198890	1	107056673	107066673	+
ENSG00000162526	1	32362538	32372538	+
ENSG00000288674	1	226870183	226880183	+
ENSG00000274764	1	13046574	13056574	-
ENSG00000275774	1	13106853	13116853	-
ENSG00000179412	1	13155630	13165630	-
ENSG00000277058	1	13060768	13070768	+
ENSG00000073756	1	186670422	186680422	-
ENSG00000057468	1	75796881	75806881	+
ENSG00000237330	1	1064305	1074305	-
ENSG00000178395	1	223393414	223403414	+
ENSG00000162621	1	74502610	74512610	-
ENSG00000183598	1	149803692	149813692	-
ENSG00000184260	1	149886917	149896917	+
ENSG00000184270	1	149877964	149887964	-
ENSG00000170128	1	200872980	200882980	+
ENSG00000174529	1	205074459	205084459	-
ENSG00000187862	1	156579722	156589722	+
ENSG00000203663	1	248030069	248040069	+
ENSG00000198128	1	248046835	248056835	+
ENSG00000171180	1	248231416	248241416	+
ENSG00000204505	1	13171847	13181847	+
ENSG00000177151	1	248635277	248645277	-
ENSG00000180708	1	158416236	158426236	-
ENSG00000179023	1	18480929	18490929	+
ENSG00000213171	1	151795418	151805418	-
ENSG00000196407	1	151843711	151853711	-
ENSG00000240386	1	152775139	152785139	+
ENSG00000172155	1	152796720	152806720	+
ENSG00000186603	1	45326894	45336894	+
ENSG00000197454	1	248013659	248023659	+
ENSG00000187701	1	248645527	248655527	-
ENSG00000203757	1	158710719	158720719	-
ENSG00000196772	1	247814118	247824118	-
ENSG00000197591	1	247831895	247841895	-
ENSG00000238243	1	247895586	247905586	+
ENSG00000177275	1	247924888	247934888	+
ENSG00000197532	1	158544404	158554404	-
ENSG00000198104	1	248375745	248385745	+
ENSG00000162727	1	248145147	248155147	+
ENSG00000198601	1	248174820	248184820	+
ENSG00000177462	1	247920251	247930251	+
ENSG00000169214	1	247706645	247716645	-
ENSG00000153230	1	247738614	247748614	+
ENSG00000177201	1	248293423	248303423	-
ENSG00000177212	1	248267975	248277975	-
ENSG00000182783	1	248552771	248562771	-
ENSG00000186092	1	65418	75418	+
ENSG00000188558	1	248508072	248518072	+
ENSG00000197437	1	247669738	247679738	-
ENSG00000221888	1	247750555	247760555	-
ENSG00000228198	1	248197264	248207264	+
ENSG00000184022	1	248587699	248597699	-
ENSG00000197403	1	158762194	158772194	-
ENSG00000198967	1	158605267	158615267	+
ENSG00000163554	1	158676714	158686714	-
ENSG00000162783	1	181088699	181098699	+
ENSG00000196289	1	241957766	241967766	+
ENSG00000120337	1	173040940	173050940	-
ENSG00000212916	1	232805415	232815415	+
ENSG00000196944	1	248361664	248371664	+
ENSG00000172410	1	66791275	66801275	-
ENSG00000186440	1	158560579	158570579	-
ENSG00000197241	1	9016422	9026422	-
ENSG00000196171	1	158690651	158700651	-
ENSG00000187170	1	152708159	152718159	+
ENSG00000169717	1	3021466	3031466	+
ENSG00000219073	1	21977021	21987021	+
ENSG00000142789	1	22001656	22011656	+
ENSG00000197084	1	152796650	152806650	-
ENSG00000273213	1	143895976	143905976	-
ENSG00000186207	1	152510802	152520802	+
ENSG00000169509	1	152514481	152524481	+
ENSG00000185966	1	152556779	152566779	-
ENSG00000163202	1	152570515	152580515	-
ENSG00000184389	1	33311097	33321097	-
ENSG00000232237	1	201117183	201127183	-
ENSG00000274386	1	42784990	42794990	+
ENSG00000196734	1	152811970	152821970	+
ENSG00000186844	1	152827472	152837472	+
ENSG00000235942	1	152842855	152852855	+
ENSG00000184148	1	152970647	152980647	+
ENSG00000196184	1	159439721	159449721	+
ENSG00000163354	1	155023780	155033780	-
ENSG00000182898	1	152079063	152089063	-
ENSG00000215853	1	152149227	152159227	-
ENSG00000197915	1	152214192	152224192	-
ENSG00000175793	1	26863148	26873148	+
ENSG00000188782	1	26190601	26200601	+
ENSG00000168148	1	228415359	228425359	-
ENSG00000188340	1	158771203	158781203	-
ENSG00000203852	1	149852607	149862607	+
ENSG00000270276	1	149851158	149861158	-
ENSG00000288825	1	149832749	149842749	-
ENSG00000184678	1	149876681	149886681	-
ENSG00000270882	1	149832656	149842656	+
ENSG00000203811	1	149831207	149841207	-
ENSG00000175143	1	248403047	248413047	+
ENSG00000187180	1	152675278	152685278	+
ENSG00000196242	1	247526439	247536439	-
ENSG00000244057	1	152600233	152610233	+
ENSG00000179862	1	40852362	40862362	-
ENSG00000263353	1	120889770	120899770	+
ENSG00000288867	1	149583847	149593847	+
ENSG00000289549	1	145232173	145242173	-
ENSG00000271567	1	144363633	144373633	-
ENSG00000279782	1	144592892	144602892	+
ENSG00000236334	1	148473301	148483301	-
ENSG00000270339	1	146334764	146344764	-
ENSG00000163352	1	154993585	155003585	+
ENSG00000173627	1	183643315	183653315	-
ENSG00000181218	1	228447872	228457872	-
ENSG00000196890	1	228458102	228468102	+
ENSG00000225828	1	32352484	32362484	-
ENSG00000159450	1	152105443	152115443	-
ENSG00000203786	1	152758024	152768024	+
ENSG00000143126	1	109249538	109259538	+
ENSG00000215906	1	22962865	22972865	-
ENSG00000289694	1	22025510	22035510	+
ENSG00000171786	1	160367070	160377070	+
ENSG00000177144	1	148748773	148758773	+
ENSG00000162510	1	30713584	30723584	-
ENSG00000198754	1	39761347	39771347	-
ENSG00000163518	1	157588084	157598084	-
ENSG00000233954	1	15797648	15807648	-
ENSG00000116726	1	12773737	12783737	+
ENSG00000116721	1	12791396	12801396	+
ENSG00000239810	1	12821409	12831409	-
ENSG00000179172	1	12838719	12848719	-
ENSG00000120952	1	12857085	12867085	+
ENSG00000243073	1	12876200	12886200	-
ENSG00000232423	1	12937579	12947579	-
ENSG00000237700	1	13303538	13313538	+
ENSG00000204518	1	12644084	12654084	+
ENSG00000270601	1	13254197	13264197	+
ENSG00000182330	1	13275136	13285136	-
ENSG00000204478	1	13410449	13420449	+
